id,name,description,ward,city,phone,email,capacity,price_table,star_rating,review_count,image_url,created_at,updated_at
26,Lotus Grand Hall,"Venue: Lotus Grand Hall — nhà hàng tiệc cưới sang trọng",Quận 3,Thành phố Hồ Chí Minh,02812345626,lotusgrand1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh26.png,2025-11-27,2025-11-27
27,Victoria Palace,"Venue: Victoria Palace — trung tâm tổ chức tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345627,victoriapalace1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh27.png,2025-11-27,2025-11-27
28,Saigon Royal Hall,"Venue: Saigon Royal Hall — sảnh cưới đa năng cao cấp",Bình Thạnh,Thành phố Hồ Chí Minh,02812345628,saigonroyal1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh28.png,2025-11-27,2025-11-27
29,Royal Diamond Hall,"Venue: Royal Diamond Hall — nhà hàng tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345629,royaldiamond1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh29.png,2025-11-27,2025-11-27
30,Golden Palace Hall,"Venue: Golden Palace Hall — sảnh cưới sang trọng TP.HCM",Phú Nhuận,Thành phố Hồ Chí Minh,02812345630,goldenpalacehall1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh30.png,2025-11-27,2025-11-27
31,Luxury Lotus Hall,"Venue: Luxury Lotus Hall — trung tâm tổ chức tiệc cưới hiện đại",Quận 3,Thành phố Hồ Chí Minh,02812345631,luxurylotus1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh31.png,2025-11-27,2025-11-27
32,Majestic Palace,"Venue: Majestic Palace — nhà hàng tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345632,majesticpalace1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh32.png,2025-11-27,2025-11-27
33,Imperial Lotus Hall,"Venue: Imperial Lotus Hall — sảnh cưới sang trọng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345633,imperiallotus1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh33.png,2025-11-27,2025-11-27
34,Royal Palace Hall,"Venue: Royal Palace Hall — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345634,royalpalacehall1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh34.png,2025-11-27,2025-11-27
35,Diamond Grand Hall,"Venue: Diamond Grand Hall — nhà hàng tiệc cưới sang trọng",Phú Nhuận,Thành phố Hồ Chí Minh,02812345635,diamondgrand1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh35.png,2025-11-27,2025-11-27
36,Lotus Palace Hall,"Venue: Lotus Palace Hall — sảnh cưới cao cấp TP.HCM",Quận 3,Thành phố Hồ Chí Minh,02812345636,lotuspalacehall1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh36.png,2025-11-27,2025-11-27
37,Victoria Grand Hall,"Venue: Victoria Grand Hall — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345637,victoriagrand1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh37.png,2025-11-27,2025-11-27
38,Saigon Diamond Hall,"Venue: Saigon Diamond Hall — sảnh cưới sang trọng đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345638,saigondiamond1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh38.png,2025-11-27,2025-11-27
39,Royal Lotus Palace,"Venue: Royal Lotus Palace — nhà hàng tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345639,royallotuspalace1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh39.png,2025-11-27,2025-11-27
40,Golden Luxury Hall,"Venue: Golden Luxury Hall — sảnh cưới hiện đại TP.HCM",Phú Nhuận,Thành phố Hồ Chí Minh,02812345640,goldenluxury1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh40.png,2025-11-27,2025-11-27
41,Luxury Grand Hall,"Venue: Luxury Grand Hall — trung tâm tiệc cưới cao cấp",Quận 3,Thành phố Hồ Chí Minh,02812345641,luxurygrand1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh41.png,2025-11-27,2025-11-27
42,Majestic Lotus Hall,"Venue: Majestic Lotus Hall — nhà hàng tiệc cưới sang trọng",Quận 1,Thành phố Hồ Chí Minh,02812345642,majesticlotus1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh42.png,2025-11-27,2025-11-27
43,Imperial Diamond Hall,"Venue: Imperial Diamond Hall — sảnh cưới hiện đại đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345643,imperialdiamond1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh43.png,2025-11-27,2025-11-27
44,Royal Grand Hall,"Venue: Royal Grand Hall — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345644,royalgrand1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh44.png,2025-11-27,2025-11-27
45,Diamond Lotus Hall,"Venue: Diamond Lotus Hall — nhà hàng tiệc cưới sang trọng",Phú Nhuận,Thành phố Hồ Chí Minh,02812345645,diamondlotus1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh45.png,2025-11-27,2025-11-27
46,Lotus Luxury Hall,"Venue: Lotus Luxury Hall — sảnh cưới cao cấp TP.HCM",Quận 3,Thành phố Hồ Chí Minh,02812345646,lotusluxury1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh46.png,2025-11-27,2025-11-27
47,Victoria Diamond Hall,"Venue: Victoria Diamond Hall — trung tâm tổ chức tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345647,victoriadiamond1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh47.png,2025-11-27,2025-11-27
48,Saigon Grand Palace,"Venue: Saigon Grand Palace — sảnh cưới sang trọng đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345648,saigongrandpalace1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh48.png,2025-11-27,2025-11-27
49,Royal Luxury Hall,"Venue: Royal Luxury Hall — nhà hàng tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345649,royalluxury1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh49.png,2025-11-27,2025-11-27
50,Golden Grand Hall,"Venue: Golden Grand Hall — sảnh cưới hiện đại TP.HCM",Phú Nhuận,Thành phố Hồ Chí Minh,02812345650,goldengrand1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh50.png,2025-11-27,2025-11-27
51,Luxury Diamond Hall,"Venue: Luxury Diamond Hall — trung tâm tổ chức tiệc cưới hiện đại",Quận 3,Thành phố Hồ Chí Minh,02812345651,luxurydiamond1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh51.png,2025-11-27,2025-11-27
52,Majestic Grand Hall,"Venue: Majestic Grand Hall — nhà hàng tiệc cưới sang trọng",Quận 1,Thành phố Hồ Chí Minh,02812345652,majesticgrand1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh52.png,2025-11-27,2025-11-27
53,Imperial Luxury Hall,"Venue: Imperial Luxury Hall — sảnh cưới cao cấp",Phú Nhuận,Thành phố Hồ Chí Minh,02812345653,imperialluxury1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh53.png,2025-11-27,2025-11-27
54,Royal Lotus Grand,"Venue: Royal Lotus Grand — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345654,royallotusgrand1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh54.png,2025-11-27,2025-11-27
55,Diamond Palace Hall,"Venue: Diamond Palace Hall — nhà hàng tiệc cưới sang trọng",Phú Nhuận,Thành phố Hồ Chí Minh,02812345655,diamondpalacehall1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh55.png,2025-11-27,2025-11-27
56,Lotus Grand Palace,"Venue: Lotus Grand Palace — sảnh cưới hiện đại TP.HCM",Quận 3,Thành phố Hồ Chí Minh,02812345656,lotusgrandpalace1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh56.png,2025-11-27,2025-11-27
57,Victoria Luxury Hall,"Venue: Victoria Luxury Hall — trung tâm tổ chức tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345657,victorialuxury1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh57.png,2025-11-27,2025-11-27
58,Saigon Diamond Palace,"Venue: Saigon Diamond Palace — sảnh cưới sang trọng đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345658,saigondiamondpalace1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh58.png,2025-11-27,2025-11-27
59,Royal Diamond Palace,"Venue: Royal Diamond Palace — nhà hàng tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345659,royaldiamondpalace1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh59.png,2025-11-27,2025-11-27
60,Golden Luxury Palace,"Venue: Golden Luxury Palace — sảnh cưới hiện đại TP.HCM",Phú NhuẬn,Thành phố Hồ Chí Minh,02812345660,goldenluxurypalace1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh60.png,2025-11-27,2025-11-27
61,Luxury Grand Palace,"Venue: Luxury Grand Palace — trung tâm tiệc cưới cao cấp",Quận 3,Thành phố Hồ Chí Minh,02812345661,luxurygrandpalace1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh61.png,2025-11-27,2025-11-27
62,Majestic Lotus Palace,"Venue: Majestic Lotus Palace — nhà hàng tiệc cưới sang trọng",Quận 1,Thành phố Hồ Chí Minh,02812345662,majesticlotuspalace1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh62.png,2025-11-27,2025-11-27
63,Imperial Diamond Palace,"Venue: Imperial Diamond Palace — sảnh cưới hiện đại đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345663,imperialdiamondpalace1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh63.png,2025-11-27,2025-11-27
64,Royal Grand Palace,"Venue: Royal Grand Palace — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345664,royalgrandpalace1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh64.png,2025-11-27,2025-11-27
65,Diamond Lotus Palace,"Venue: Diamond Lotus Palace — sảnh cưới cao cấp",Phú NhuẬn,Thành phố Hồ Chí Minh,02812345665,diamondlotuspalace1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh65.png,2025-11-27,2025-11-27
66,Lotus Luxury Palace,"Venue: Lotus Luxury Palace — sảnh cưới cao cấp TP.HCM",Quận 3,Thành phố Hồ Chí Minh,02812345666,lotusluxurypalace1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh66.png,2025-11-27,2025-11-27
67,Victoria Diamond Palace,"Venue: Victoria Diamond Palace — trung tâm tổ chức tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345667,victoriadiamondpalace1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh67.png,2025-11-27,2025-11-27
68,Saigon Grand Luxury,"Venue: Saigon Grand Luxury — sảnh cưới sang trọng đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345668,saigongrandluxury1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh68.png,2025-11-27,2025-11-27
69,Royal Luxury Palace,"Venue: Royal Luxury Palace — nhà hàng tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345669,royalluxurypalace1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh69.png,2025-11-27,2025-11-27
70,Golden Grand Palace,"Venue: Golden Grand Palace — sảnh cưới hiện đại TP.HCM",Phú NhuẬn,Thành phố Hồ Chí Minh,02812345670,goldengrandpalace1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh70.png,2025-11-27,2025-11-27
71,Luxury Diamond Palace,"Venue: Luxury Diamond Palace — trung tâm tổ chức tiệc cưới hiện đại",Quận 3,Thành phố Hồ Chí Minh,02812345671,luxurydiamondpalace1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh71.png,2025-11-27,2025-11-27
72,Majestic Grand Palace,"Venue: Majestic Grand Palace — nhà hàng tiệc cưới sang trọng",Quận 1,Thành phố Hồ Chí Minh,02812345672,majesticgrandpalace1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh72.png,2025-11-27,2025-11-27
73,Imperial Luxury Palace,"Venue: Imperial Luxury Palace — sảnh cưới cao cấp",Bình Thạnh,Thành phố Hồ Chí Minh,02812345673,imperialluxurypalace1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh73.png,2025-11-27,2025-11-27
74,Royal Lotus Luxury,"Venue: Royal Lotus Luxury — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345674,royallotusluxury1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh74.png,2025-11-27,2025-11-27
75,Diamond Palace Luxury,"Venue: Diamond Palace Luxury — nhà hàng tiệc cưới sang trọng",Phú Nhuận,Thành phố Hồ Chí Minh,02812345675,diamondpalaceluxury1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh75.png,2025-11-27,2025-11-27
76,Lotus Grand Luxury,"Venue: Lotus Grand Luxury — sảnh cưới hiện đại TP.HCM",Quận 3,Thành phố Hồ Chí Minh,02812345676,lotusgrandluxury1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh76.png,2025-11-27,2025-11-27
77,Victoria Luxury Palace,"Venue: Victoria Luxury Palace — trung tâm tổ chức tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345677,victorialuxurypalace1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh77.png,2025-11-27,2025-11-27
78,Saigon Diamond Luxury,"Venue: Saigon Diamond Luxury — sảnh cưới sang trọng đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345678,saigondiamondluxury1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh78.png,2025-11-27,2025-11-27
79,Royal Diamond Luxury,"Venue: Royal Diamond Luxury — nhà hàng tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345679,royaldiamondluxury1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh79.png,2025-11-27,2025-11-27
80,Golden Luxury Grand,"Venue: Golden Luxury Grand — sảnh cưới hiện đại TP.HCM",Phú NhuẬn,Thành phố Hồ Chí Minh,02812345680,goldenluxurygrand1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh80.png,2025-11-27,2025-11-27
81,Luxury Grand Diamond,"Venue: Luxury Grand Diamond — trung tâm tiệc cưới cao cấp",Quận 3,Thành phố Hồ Chí Minh,02812345681,luxurygranddiamond1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh81.png,2025-11-27,2025-11-27
82,Majestic Lotus Luxury,"Venue: Majestic Lotus Luxury — nhà hàng tiệc cưới sang trọng",Quận 1,Thành phố Hồ Chí Minh,02812345682,majesticlotusluxury1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh82.png,2025-11-27,2025-11-27
83,Imperial Diamond Luxury,"Venue: Imperial Diamond Luxury — sảnh cưới hiện đại đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345683,imperialdiamondluxury1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh83.png,2025-11-27,2025-11-27
84,Royal Grand Luxury,"Venue: Royal Grand Luxury — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345684,royalgrandluxury1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh84.png,2025-11-27,2025-11-27
85,Diamond Lotus Luxury,"Venue: Diamond Lotus Luxury — nhà hàng tiệc cưới sang trọng",Phú NhuẬn,Thành phố Hồ Chí Minh,02812345685,diamondlotusluxury1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh85.png,2025-11-27,2025-11-27
86,Lotus Luxury Grand,"Venue: Lotus Luxury Grand — sảnh cưới cao cấp TP.HCM",Quận 3,Thành phố Hồ Chí Minh,02812345686,lotusluxurygrand1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh86.png,2025-11-27,2025-11-27
87,Victoria Diamond Luxury,"Venue: Victoria Diamond Luxury — trung tâm tổ chức tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345687,victoriadiamondluxury1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh87.png,2025-11-27,2025-11-27
88,Saigon Grand Diamond,"Venue: Saigon Grand Diamond — sảnh cưới sang trọng đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345688,saigongranddiamond1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh88.png,2025-11-27,2025-11-27
89,Royal Luxury Diamond,"Venue: Royal Luxury Diamond — nhà hàng tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345689,royalluxurydiamond1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh89.png,2025-11-27,2025-11-27
90,Golden Grand Luxury,"Venue: Golden Grand Luxury — sảnh cưới hiện đại TP.HCM",Phú NhuẬn,Thành phố Hồ Chí Minh,02812345690,goldengrandluxury1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh90.png,2025-11-27,2025-11-27
91,Luxury Diamond Grand,"Venue: Luxury Diamond Grand — trung tâm tổ chức tiệc cưới cao cấp",Quận 3,Thành phố Hồ Chí Minh,02812345691,luxurydiamondgrand1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh91.png,2025-11-27,2025-11-27
92,Majestic Grand Luxury,"Venue: Majestic Grand Luxury — nhà hàng tiệc cưới sang trọng",Quận 1,Thành phố Hồ Chí Minh,02812345692,majesticgrandluxury1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh92.png,2025-11-27,2025-11-27
93,Imperial Luxury Diamond,"Venue: Imperial Luxury Diamond — sảnh cưới cao cấp",Bình Thạnh,Thành phố Hồ Chí Minh,02812345693,imperialluxurydiamond1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh93.png,2025-11-27,2025-11-27
94,Royal Lotus Diamond,"Venue: Royal Lotus Diamond — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345694,royallotusdiamond1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh94.png,2025-11-27,2025-11-27
95,Diamond Palace Grand,"Venue: Diamond Palace Grand — nhà hàng tiệc cưới sang trọng",Phú NhuẬn,Thành phố Hồ Chí Minh,02812345695,diamondpalacegrand1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh95.png,2025-11-27,2025-11-27
96,Lotus Grand Diamond,"Venue: Lotus Grand Diamond — sảnh cưới hiện đại TP.HCM",Quận 3,Thành phố Hồ Chí Minh,02812345696,lotusgranddiamond1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh96.png,2025-11-27,2025-11-27
97,Victoria Luxury Diamond,"Venue: Victoria Luxury Diamond — trung tâm tổ chức tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345697,victorialuxurydiamond1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh97.png,2025-11-27,2025-11-27
98,Saigon Diamond Grand,"Venue: Saigon Diamond Grand — sảnh cưới sang trọng đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345698,saigondiamondgrand1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh98.png,2025-11-27,2025-11-27
99,Royal Diamond Grand,"Venue: Royal Diamond Grand — nhà hàng tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345699,royaldiamondgrand1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh99.png,2025-11-27,2025-11-27
100,Golden Luxury Diamond,"Venue: Golden Luxury Diamond — sảnh cưới hiện đại TP.HCM",Phú NhuẬn,Thành phố Hồ Chí Minh,02812345700,goldenluxurydiamond1@example.com,850,13500000,4.3,200,uploads/restaurants/hinh100.jpg,2025-11-27,2025-11-27
